Modules,模块
"# Manage Stock Movements
Stock entry allows you to register the movement of stock for various purposes like transfer, received, issues, repacked, etc. To address issues related to theft and pilferages,  you can always ensure that the movement of goods happens against a document reference Stock Entry in ERPNext.

Let’s get a quick walk-through on the various scenarios covered in Stock Entry by watching [*this video*](https://www.youtube.com/watch?v=Njt107hlY3I).","# 管理物料移动
物料移动用来记录各种类型的物料异动，如调拨、入库、出库、重新包装等，为更好地控制库存被偷盗或其它原因的灭失，可以设置所有出库均需关联原始业务单据。
更多细节，请观看 [*此视频教程*](https://www.youtube.com/watch?v=Njt107hlY3I)."
"# Update Stock Opening Balance
It’s an entry to update the stock balance of an item, in a warehouse, on a date and time you are going live on ERPNext.

Once opening stocks are updated, you can create transactions like manufacturing and stock deliveries, where this opening stock will be consumed.","# 更新初始库存
库存调账用于将上线时间点库存盘点结果导入新系统

初始库存导入(更新)后，即可进行各种消耗库存的业务操作，如生产调拨、销售出库等"
"# Check Stock Reports
Based on the various stock transactions, you can get a host of one-click Stock Reports in ERPNext like Stock Ledger, Stock Balance, Projected Quantity, and Ageing analysis.","
# 查看库存报表
在系统中产生了各种库存业务(物料移动)记录后，即可查看各种库存报表，如物料凭证(库存移动明细)，库存余额(收发存汇总表),又称实时库存，库龄，预期可用库存等"
Build,后台组件
Make a Sales Tax Template,新建一个税费模板
Assign a user,分派一个用户
File View,文件视图
Complete Setup,完成设置
The Brand,品牌
Select your Domains,选择行业
Your Organization,组织机构
Healthcare (beta),医疗保健（测试版）
What does it do?,公司主营业务(显示在网站首页的大标题)
"e.g. ""Build tools for builders""",例如“建筑工人的建筑工具！”
Mon,周一
Wed,周三
Tue,周二
Fri,周五
Sat,周六
Thu,周四
Sun,周日
No filters selected ,未选择过渡条件
Rules,规则
Create a Material Transfer Entry,创建一笔物料移动
"Let’s create a stock opening entry",创建库存调账-期初库存
"Let’s create your first  warehouse ",创建第一个仓库
"Take a walk through Stock Settings",查看库存设置
"Report initiated, click to view status",报表已在后台运行，点击查看报表状态
Annual Sales,年销售额
Sales Orders to Deliver,待出货销售订单
Sales Orders to Bill,待开票销售订单
Sales Orders to Deliver,待出库销售订单
Active Customers,活跃客户
Top Customers,大客户
Item-wise Annual Sales,物料年销售额
Sr. No,序号
Report Error,出错提示
Loans,贷款
Link To,链接至
"# Track Material Request


Also known as Purchase Request or an Indent, is a document identifying a requirement of a set of items (products or services) for various purposes like procurement, transfer, issue, or manufacturing. Once the Material Request is validated, a purchase manager can take the next actions for purchasing items like requesting RFQ from a supplier or directly placing an order with an identified Supplier.

","# 管理物料需求

物料需求又称采购需求，是因采购、调拨、生产等目的产生的对原材料的需求，物料需求被审批后，可以下推询价、报价或直接生成采购订单"
"# Create first Purchase Order

Purchase Order is at the heart of your buying transactions. In ERPNext, Purchase Order can can be created against a Purchase Material Request (indent) and Supplier Quotation as well.  Purchase Orders is also linked to Purchase Receipt and Purchase Invoices, allowing you to keep a birds-eye view on your purchase deals.

","采购订单是采购业务的核心，采购订单可由物料需求、供应商报价或销售订单下推，从采购订单可下推(关联)采购入库、采购发票、付款"
"# Buying Settings


Buying module’s features are highly configurable as per your business needs. Buying Settings is the place where you can set your preferences for:

- Supplier naming and default values
- Billing and shipping preference in buying transactions


","# 采购设置

采购模块有很多可配置选项，比如

- 供应商编号规则及默认值
- 采购业务中的发票及出货"
"Let’s walk-through few Buying Settings",进入采购设置界面
"Let’s create your first Purchase Order",创建第一个采购订单
"Let’s create your first Material Request",创建第一个物料需求
Configure the default Price List when creating a new Purchase transaction. Item prices will be fetched from this Price List.,采购业务单据中默认的价格表。,
Done,完成
"# Create a Supplier
In this step we will create a **Supplier**. If you have already created a **Supplier** you can skip this step.","# 新建供应商
此步骤新建一个 **供应商**，如果已经新建过**供应商**了，则可跳过此步骤"
Show Users,显示用户
Allowed Items,可交易物料
